"";"dc:creator";"dc:source";"dc:created";"dc:description";"dc:rights";"dc:subjects";"dc:format";"dc:valid";"dc:issued";"dc:modified";"dc:coverage";"dc:expired";"dc:language";"dc:title";"item ### #text";
"001dccef-122a-414d-b020-03b7a236b76c";"Delcourt";"";"2015-11-10T12:16:23Z";"";"";"";"";"";"";"2021-04-16T08:26:22Z";"";"";"";"2015.5.18";"Delcourt";"
"
"002892a4-e22c-4123-b4bf-00f5f55e251f";"system";"";"2015-05-27T22:00:00Z";"";"";"";"";"";"";"2022-10-24T13:54:15Z";"";"";"";"FNAC 1175. MuMa 430";"system";"
"
"00466e96-f258-4046-babe-14701267bf5b";"system";"";"2005-09-04T22:00:00Z";"";"";"";"";"";"";"2022-10-27T09:13:08Z";"";"";"";"BD 44";"system";"
"
"004964bd-a95b-4fec-9cb4-6cbce62e498f";"system";"";"2001-01-31T23:00:00Z";"";"";"";"";"";"";"2022-10-26T11:58:10Z";"";"";"";"AD 52";"system";"
"
"00794fbb-7a98-4334-bafa-b87f6827ef2f";"system";"";"2006-11-23T23:00:00Z";"";"";"";"";"";"";"2020-09-21T13:57:35Z";"";"";"";"AD 108 ter";"system";"
"
"007d30af-b902-49c5-9051-b86982e1ddc0";"system";"";"2000-01-19T23:00:00Z";"";"";"";"";"";"";"2022-10-26T12:58:16Z";"";"";"";"AD 74";"system";"
"
"007d4369-0344-4eea-99d8-81e8a74af015";"system";"";"2005-09-11T22:00:00Z";"";"";"";"";"";"";"2022-10-19T13:48:55Z";"";"";"";"2004.3.104";"system";"
"
"0080fa77-ba56-4281-87a2-18a62f6a99c9";"system";"";"2000-10-30T23:00:00Z";"";"";"";"";"";"";"2022-11-10T07:38:02Z";"";"";"";"B 81";"system";"
"
"008c3b7c-1287-4e69-95c5-3eaf41fbf718";"system";"";"2001-12-17T23:00:00Z";"";"";"";"";"";"";"2022-11-02T08:23:35Z";"";"";"";"71.434";"system";"
"
"00935016-0ceb-4845-aecd-4fb1e055c6d7";"system";"";"2000-10-02T22:00:00Z";"";"";"";"";"";"";"2022-11-09T14:49:28Z";"";"";"";"B 45";"system";"
"
"00960353-3b05-448a-b222-716f02e29050";"system";"";"2013-06-09T22:00:00Z";"";"";"";"";"";"";"2022-11-02T10:51:27Z";"";"";"";"2013.1.1";"system";"
"
"00c39e1e-8c25-4def-8b0c-c1b9a6c99e04";"system";"";"2005-09-06T22:00:00Z";"";"";"";"";"";"";"2022-10-27T12:20:25Z";"";"";"";"BD 69";"system";"
"
"00ccf54e-b5d8-4145-adf3-5898a7a4ad1b";"system";"";"2001-12-13T23:00:00Z";"";"";"";"";"";"";"2022-11-02T08:21:39Z";"";"";"";"71.191";"system";"
"
"00db6aca-44c0-4b1e-8b2d-8cf0d8b3d83e";"system";"";"2006-11-12T23:00:00Z";"";"";"";"";"";"";"2022-12-06T14:33:48Z";"";"";"";"74.22";"system";"
"
