"";"identificationEtDescription:periodesDeCreationExecution";"identificationEtDescription:auteursExecutantsCollecteurs";"identificationEtDescription:titres";"identificationEtDescription:domaines";"identificationEtDescription:etatActuelDuBien";"identificationEtDescription:materiauxEtTechniques";"identificationEtDescription:mesures";"identificationEtDescription:inscriptions";"identificationEtDescription:millesimesDeCreationExecution";"identificationEtDescription:appellationsVernaculaires";"identificationEtDescription:nbreObjets";"identificationEtDescription:representations";"identificationEtDescription:denominations";"identificationEtDescription:nbreElements";"identificationEtDescription:numeroDInventaire";"identificationEtDescription:mouvement";"identificationEtDescription:techniques";"identificationEtDescription:ecoles";"identificationEtDescription:description";"identificationEtDescription:modesFonctionnement";"identificationEtDescription:autresNumeros";"identificationEtDescription:interetObjet";"identificationEtDescription:numeroDeDepot";"identificationEtDescription:anciensNumeros";"identificationEtDescription:particularites";"identificationEtDescription:etatDuBienHistory";"identificationEtDescription:onomastique";"identificationEtDescription:epoque";"identificationEtDescription:anciennesAttributions";"identificationEtDescription:appellation";"identificationEtDescription:descriptionsAnalytiques";"identificationEtDescription:autresDesignations";"identificationEtDescription:style";"identificationEtDescription:qualiteRealisation";"identificationEtDescription:precisionNumeroDInventaire";"identificationEtDescription:materiaux";"identificationEtDescription:rareteEnCollection";"identificationEtDescription:etatGeneral";"identificationEtDescription:appellations";"identificationEtDescription:etatActuelDuBien ### etat";"identificationEtDescription:etatActuelDuBien ### date";"item ### #text";"item ### precisions";"item ### mesuresSet";"item ### notes";"item ### precision";"item ### periode";"item ### affixe";"item ### traduction";"item ### transliteration";"item ### techniques";"item ### alphabet";"item ### inscription";"item ### type";"item ### justification";"item ### langue";"item ### emplacement";"item ### auteur";"identificationEtDescription:millesimeDeLOriginalCopie ### millesime";"identificationEtDescription:millesimeDeLOriginalCopie ### precision";"identificationEtDescription:millesimeDeLOriginalCopie ### affixe";"identificationEtDescription:millesimeDeLOriginalCopie ### notes";"identificationEtDescription:etatDuBienAcquisisionDepot ### dateConstat";"identificationEtDescription:etatDuBienAcquisisionDepot ### details";"identificationEtDescription:etatDuBienAcquisisionDepot ### etatInitialDuBien";"identificationEtDescription:etatDuBienAcquisisionDepot ### notes";"item ### complement";"item ### periodes";"item ### attribuePar";"item ### lieux";"item ### roles";"item ### millesimes";"item ### lesTechniques";"item ### lesMateriaux";"identificationEtDescription:periodeDeLOriginalCopie ### precision";"identificationEtDescription:periodeDeLOriginalCopie ### periode";"identificationEtDescription:periodeDeLOriginalCopie ### affixe";"identificationEtDescription:periodeDeLOriginalCopie ### notes";"item ### titre";"item ### millesime";"item ### affixes";"item ### denomination";"item ### numero";"item ### description";"item ### ecole";
"001dccef-122a-414d-b020-03b7a236b76c";;;;;;;;;;"";"";"";"";"";"2015.5.18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4bea4ee8-ad38-4f84-be9b-ec5c53d19ead";"";"17.78f9313ee-3a8e-4fbc-b64a-4200d8e11ac4 ### ";" ### Tirage réalisé par La Chambre Noire à Paris, sous la direction de Bernard Plossu. ###  ### mars ### ";" ### tirage argentique noir et blanc sur papier, 1/30 ###  ### date de prise de vue ### ";"1er quart 21e siècle ### ";"";"";"";"";"";"";"Signature ### ";"";"";"Au dos ### ";"PLOSSUBernard ###  ### PLOSSUBernard ###  ### La Chambre Noire ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Photographe ###  ### Tireur ### ";"";"tirage argentique noir et blanc ### ";"papier photographique ### ";"";"";"";"";"Le Havre. Mars 2014 ### ";"2014 ### ";;;;;;"
"
"002892a4-e22c-4123-b4bf-00f5f55e251f";;;;;;;"";"";"";"";"1";"";;"";"FNAC 1175. MuMa 430";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";;;"";" ### Création ###  ### présumé détruit ### ";"4e quart 19e siècle ### ";"";;;;;;;;"";;"PRUNIER				Gaston ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"aquarelle (dessin) ### ";"";"";"";"";"";"Canal Saint-Martin ### ";;"";"";;;;"
"
"00466e96-f258-4046-babe-14701267bf5b";;;;;;;;"";;"";"";"";;"";"BD 44";"a9e70fa2-ccad-4f4b-ac66-dd8f5e7a0ca3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"538acd45ee-fdfb-4e0a-b4da-b6ba50a4a3d1 ### ";" ### Datation proposée par Laurent Manœuvre à l’occasion de la préparation de l’exposition Eugène Boudin. L’atelier de la lumière, 16 avril 2016 – 26 septembre 2016 ### ";" ### Création ###  ### graphite sur papier vélin ### ";"3e quart 19e siècle ### ";" ### entre ###  ### et ### ";;;;;;;;"";;"BOUDINEugène ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"graphite ### ";"papier vélin ### ";"";"";"";"";"Vaches ### ";"1851 ###  ### 1859 ### ";"";"";;;;"
"
"004964bd-a95b-4fec-9cb4-6cbce62e498f";;;;;;;;;;"";"1";"";;"";"AD 52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"4be2fbea0-81db-4201-9fc0-4cb31a56b2fd ### ";"";" ### Création ###  ### Pastel ###  ### date de signature ### ";"4e quart 19e siècle ### ";"";"";"";"";"";"Laurence GALBRUND 1882 ###  ### Laurenc GALBRUND portrait de GALBRUND conservateur du musée don de l'auteur 0.50 x 0.61 ### ";"Signé et daté ###  ### Etiquette ### ";"";"";"En bas à gauche ###  ### Au dos ### ";" ### GALBRUNDMarie-Laurence ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Pastelliste ### ";"";"pastel ### ";"";"";"";"";"";"Portrait d'Alphonse Galbrund ### ";"1882 ### ";"";"";;;;"
"
"00794fbb-7a98-4334-bafa-b87f6827ef2f";;;;;;;;"";;"";"1";"";;"";"AD 108 ter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"52,5c501fe68-68ab-4ddf-a9e1-6708febf4ff8 ### ";"";" ### Création ###  ### encre brune et lavis de brun sur papier vergé ### ";"1er quart 19e siècle ### ";"";;;;;;;;"";;"NICOLLE				Victor-Jean ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"lavis ### ";"papier vergé ### ";"";"";"";"";"Ruines romaines ### ";"1805 ### ";"";"";;;;"
"
"007d30af-b902-49c5-9051-b86982e1ddc0";;;;;;;;;"";"";"1";"";;"";"AD 74";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"6662edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";" ### Création ###  ### registre d'inventaire 1871-1957 ### ";"inconnue ### ";" ### ancien titre ### ";"";"";"";"";"a.Franckaiser ### ";"Signature ### ";"";"";"En bas à gauche ### ";" ### KAISERFranz Adolphe ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"fusain ### ";"papier ### ";"";"";"";"";"Vieille Maison à Dinan ###  ### Vieille maison normande ### ";;"";"";;;;"
"
"007d4369-0344-4eea-99d8-81e8a74af015";;;;;;;;;;"";"";"";;"";"2004.3.104";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3e3dcf3d-83da-42b4-bf8f-9d5539e7628d";"";"538acd45ee-fdfb-4e0a-b4da-b6ba50a4a3d1 ### ";" ### Etude pour \"La Plage de Saint - Claire\", 1901, huile sur toile, 68 x 92. Collection particulière, Paris. ### ";" ### Signé au crayon graphite en bas à gauche. ###  ### 89 ###  ### Création ###  ### Pastel sur papier vergé filigrané avec marque de fabrique Auguste Lepage et doublé sur un papier fort ### ";"1er quart 20e siècle ### ";"";"";"";"";"";"H.E. Cross ###  ### 1 - BERNHEIM-JEUNE & Cie 83, rue du Faubourg Saint Honoré Paris VIIIe / Exposition rétrospective H.-E. CROSS (avril 1937) / Titre de l'oeuvre : dessin / N° du catalogue2 - 89 (Senn)3 - N° 19394 / H.E. CROSS / Côte montagneuse de Provence / e00 ###  ### 1 - 193942 - 49 (à la craie orange)3 - M. Senn (à la craie bleue)4 - Senne ### ";"Signature ###  ### Etiquette ###  ### Inscription ### ";"";"";"En bas à gauche ###  ### Au dos ###  ### Au dos ### ";" ### pseudonyme d'Henri Edmond Joseph DELACROIXCROSSHenri-Edmond ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Dessinateur ### ";"";"pastel ### ";"papier ### ";"";"";"";"";"Côte montagneuse de Provence ###  ### Paysage méditerranéen ### ";"vers 1901 ### ";"";"";"Senn ### ";;;"
"
"0080fa77-ba56-4281-87a2-18a62f6a99c9";;;;;;;;"";;"";"1";"";;"";"B 81";"a9e70fa2-ccad-4f4b-ac66-dd8f5e7a0ca3";"";"";"";"";;"";"";"";"";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"3.2d89f31ac-442f-4922-a414-e499739710e7 ### ";" ### Commentaire de Laurent Manœuvre, 2016 ###  ### Anciennement : Paysage. Ciel nuageux. Rue de village ###  ### Ancienne datation : 1888-1895 - Datation revue par Laurent Manœuvre à l’occasion de la préparation de l’exposition Eugène Boudin. L’atelier de la lumière, 16 avril 2016 – 26 septembre 2016 ### ";" ### 2432 ###  ### 174 ###  ### Création ###  ### huile sur bois ### ";"3e quart 19e siècle ### ";" ### entre ###  ### et ### ";;;;;;"";;"";;"BOUDINEugène ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"bois ### ";"";"";"";"";"Rue de village ### ";"1867 ###  ### 1872 ### ";"";"";"Schmit ###  ### Cohen ### ";"Le style de la maison à pignons permet de localiser cette étude dans le Finistère. Boudin a exécuté de nombreuses études de villages lors de ses séjours bretons au cours des années 1867-1872. Une peinture de composition relativement proche est localisée à l’Hôpital-Camfrout (Schmit 579) ### ";;"
"
"008c3b7c-1287-4e69-95c5-3eaf41fbf718";;;;;;;;;;"";"1";"";;"";"71.434";"";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"8162edb277-39c3-45b9-a4ee-b7725513f35c ### ";"";" ### 1971.434 ###  ### Création ###  ### huile sur toile ###  ### date de signature ### ";"3e quart 20e siècle ### ";"";"";"";"";"";"GUERRIER 69 ### ";"Signé et daté ### ";"";"";"En bas à gauche ### ";" ### GUERRIERRaymond ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"Personnages ### ";"1969 ### ";"";"";"Ancien numéro ### ";;;"
"
"00935016-0ceb-4845-aecd-4fb1e055c6d7";;;;;;;;;;"";"1";"";;"";"B 45";"a9e70fa2-ccad-4f4b-ac66-dd8f5e7a0ca3";"";"";"";"";;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"bf2236d1-5101-4db4-9180-a844761644b5";"";"48,8c501fe68-68ab-4ddf-a9e1-6708febf4ff8 ### ";" ### Anciennement : cinq vaches - une couchée au premier plan ###  ### Ancienne datation : 1881-1888 - Datation revue par Laurent Manœuvre à l’occasion de la préparation de l’exposition Eugène Boudin. L’atelier de la lumière, 16 avril 2016 – 26 septembre 2016 ### ";" ### Tampon à l'encre noire ###  ### Tampon à l'encre noire ###  ### Traverse supérieure, au crayon bleu ###  ### Vieille étiquette au crayon à papier, traverse supérieure ###  ### 1649 ###  ### 152 ###  ### Création ###  ### huile sur toile ### ";"4e quart 19e siècle ### ";" ### entre ###  ### et ### ";"";"";"";"";"45 ###  ### 45 ###  ### 412 ###  ### Musée ###  ### 455 vaches. Une couchée au premier plan0.46.0.32 ### ";"Numéroté ###  ### Numéroté ###  ### Numéroté ###  ### Etiquette manuscrite ###  ### Etiquette manuscrite ### ";"";"";"Au dos sur la toile ###  ### Au dos sur le châssis ###  ### Au dos sur le châssis ###  ### Au dos sur le châssis ###  ### Au dos sur le châssis ### ";" ### BOUDINEugène ### ";"";"";"";"";"";"";"";"";"";"";"";"";"Peintre ### ";"";"peinture à l'huile ### ";"toile ### ";"";"";"";"";"Vaches au pâturage ### ";"1881 ###  ### 1888 ### ";"";"";"Schmit ###  ### Cohen ### ";;;"
"
